Accession,Continent,Block,Dried_Biomass,Dried_Seed_Weight,Harvest_Index,Thousand_Seed_Weight,Flowering,Maturity,Flowering_to_Maturity,Site,Region
T413,Asia,Block5,176,46.4,0.263636364,3.1017805,42,87,45,Miryang,Eastern Asia
T414,Asia,Block7,166.5,42.7,0.256456456,3.24357618,42,87,45,Miryang,Eastern Asia
T415,Asia,Block2,125.5,3.5,0.027888446,2.78274022,42,79,37,Miryang,Eastern Asia
T416,Asia,Block2,125.5,5.7,0.045418327,2.65,45,80,35,Miryang,Unknown
T417,Asia,Block2,137.5,16.7,0.121454545,3.153333333,42,108,66,Miryang,Unknown
T418,Asia,Block8,259.5,62.7,0.241618497,3.046666667,47,108,61,Miryang,Unknown
T419,Asia,Block4,249.5,36.4,0.145891784,2.346666667,45,88,43,Miryang,Unknown
T420,Asia,Block5,234,44.4,0.18974359,2.855,45,88,43,Miryang,Unknown
T421,Asia,Block2,229,16.6,0.072489083,2.496666667,49,108,59,Miryang,Unknown
T422,Asia,Block8,201.5,2.4,0.01191067,2.89,48,108,60,Miryang,Unknown
T423,Asia,Block5,330,53,0.160606061,2.61,45,108,63,Miryang,Unknown
T424,Asia,Block5,184,28.8,0.156521739,3.19,45,88,43,Miryang,Eastern Asia
T425,Asia,Block3,176,27.2,0.154545455,2.733333333,42,88,46,Miryang,Unknown
T426,Asia,Block2,100.5,34,0.338308458,2.75,42,88,46,Miryang,Eastern Asia
T427,Asia,Block7,240.5,19,0.079002079,3.11,45,88,43,Miryang,Unknown
T428,Asia,Block2,51,12.8,0.250980392,2.716666667,42,80,38,Miryang,Eastern Asia
T431,Asia,Block5,280,2.1,0.0075,,60,108,48,Miryang,Southern Africa
TN01,Africa,Block4,401,8.6,0.021446384,2.723658687,53,107,54,Miryang,Northern Africa
TN02,Asia,Block7,223,64.2,0.287892377,2.733333333,51,108,57,Miryang,Eastern Asia
TN03,Asia,Block7,157,32.9,0.20955414,2.703333333,45,88,43,Miryang,Eastern Asia
TN04,Asia,Block7,210.5,26,0.123515439,3,45,88,43,Miryang,Eastern Asia
TN05,Asia,Block7,127.5,48.7,0.381960784,2.476666667,45,80,35,Miryang,Eastern Asia
TN06,Asia,Block7,,,,,,,,Miryang,Southern Africa
TN07,Asia,Block7,540,0.2,0.00037037,,62,108,46,Miryang,Southern Africa
TN08,Asia,Block7,245,23.6,0.096326531,3.106666667,42,91,49,Miryang,Eastern Asia
TN09,Asia,Block7,194.5,34.3,0.176349614,3.273333333,38,81,43,Miryang,Eastern Asia
TN10,Asia,Block7,197.5,37.2,0.18835443,2.7,41,86,45,Miryang,Eastern Asia
TN11,Asia,Block7,185.5,25.2,0.135849057,2.486666667,42,84,42,Miryang,Eastern Asia
TN12,Asia,Block7,102.5,12.4,0.12097561,2.766666667,37,79,42,Miryang,Eastern Asia
TN13,Asia,Block7,130.5,29.4,0.225287356,2.606666667,41,88,47,Miryang,Eastern Asia
TN14,Asia,Block7,137.5,20.3,0.147636364,2.673333333,41,81,40,Miryang,Eastern Asia
TN15,Asia,Block7,145.5,25.8,0.177319588,2.74,41,81,40,Miryang,Eastern Asia
TN16,Asia,Block8,278,53.5,0.192446043,2.653333333,42,87,45,Miryang,Eastern Asia
TN17,Asia,Block8,200.5,38.2,0.190523691,2.973333333,42,86,44,Miryang,Eastern Asia
TN18,Asia,Block8,139.5,33,0.23655914,3.3,42,85,43,Miryang,Eastern Asia
TN19,Asia,Block8,295,48.2,0.163389831,2.993333333,42,91,49,Miryang,Eastern Asia
TN20,Asia,Block8,215,42.1,0.195813953,3.286666667,42,91,49,Miryang,Eastern Asia
TN21,Asia,Block8,208.5,40.9,0.19616307,3.006666667,43,91,48,Miryang,Eastern Asia
TN22,Asia,Block8,202.5,53.9,0.26617284,3.146666667,42,91,49,Miryang,Eastern Asia
TN23,Asia,Block8,196.5,40.4,0.205597964,2.833333333,42,91,49,Miryang,Eastern Asia
TN24,Asia,Block8,124,13.1,0.105645161,3.14,42,84,42,Miryang,Eastern Asia
TN25,Asia,Block8,172,34.5,0.200581395,3.156666667,42,87,45,Miryang,Eastern Asia
TN26,Asia,Block8,144.5,34.4,0.238062284,2.663333333,42,85,43,Miryang,Eastern Asia
TN27,Asia,Block8,104,27,0.259615385,2.57,42,85,43,Miryang,Eastern Asia
TN28,Asia,Block8,158,31.9,0.201898734,3.106666667,42,91,49,Miryang,Eastern Asia
TN29,Asia,Block8,127,29,0.228346457,2.903333333,42,84,42,Miryang,Eastern Asia
TN30,Asia,Block8,240,46.6,0.194166667,3.08,42,93,51,Miryang,Eastern Asia
TN31,Asia,Block8,132.5,16.2,0.122264151,3.246666667,42,91,49,Miryang,Eastern Asia
TN32,Asia,Block8,134,25.4,0.189552239,2.933333333,42,81,39,Miryang,Eastern Asia
TN33,Asia,Block8,165,3.72,0.022545455,2.788648373,42,91,49,Miryang,Eastern Asia
TN34,Asia,Block8,,38.3,,2.95112259,43,85,42,Miryang,Eastern Asia
TN35,Asia,Block8,142,32.9,0.231690141,2.812280987,42,91,49,Miryang,Eastern Asia
TN36,Asia,Block8,183,30.8,0.168306011,3.338106633,42,88,46,Miryang,Eastern Asia
TN37,Asia,Block8,111,33.8,0.304504505,2.894995133,42,91,49,Miryang,Eastern Asia
TN38,Asia,Block8,314,32.5,0.103503185,2.912719593,42,87,45,Miryang,Eastern Asia
TN39,Asia,Block8,204,44.3,0.217156863,2.97770928,42,85,43,Miryang,Eastern Asia
TN40,Asia,Block8,165.5,18.5,0.111782477,2.912719593,42,84,42,Miryang,Eastern Asia
TN41,Asia,Block8,210,32.5,0.154761905,3.078147887,42,87,45,Miryang,Eastern Asia
TN42,Asia,Block8,,50.5,,3.042698967,42,85,43,Miryang,Eastern Asia
TN43,Asia,Block8,194,39.5,0.203608247,2.894995133,42,85,43,Miryang,Eastern Asia
TN44,Asia,Block8,213,24.4,0.114553991,2.78274022,42,85,43,Miryang,Eastern Asia
TN45,Asia,Block8,226,44.3,0.196017699,2.99543374,42,85,43,Miryang,Eastern Asia
TN46,Asia,Block8,142,33.6,0.236619718,3.70441214,42,85,43,Miryang,Eastern Asia
TN47,Asia,Block8,142,38.7,0.272535211,3.237668027,42,85,43,Miryang,Eastern Asia
TN48,Asia,Block8,,30.2,,2.658669,43,85,42,Miryang,Eastern Asia
TN49,Asia,Block8,248,55.3,0.222983871,2.954076667,43,85,42,Miryang,Eastern Asia
TN50,Asia,Block8,192.5,38.8,0.201558442,3.06633158,42,85,43,Miryang,Eastern Asia
TN51,Asia,Block8,168,30,0.178571429,2.971801127,42,85,43,Miryang,Eastern Asia
TN52,Asia,Block8,186,42.8,0.230107527,2.72956684,42,88,46,Miryang,Eastern Asia
TN53,Asia,Block8,180.5,42.6,0.23601108,2.81818914,42,81,39,Miryang,Eastern Asia
TN54,Asia,Block8,148,37.6,0.254054054,2.930444053,42,85,43,Miryang,Eastern Asia
TN55,Asia,Block8,176,30.8,0.175,3.001341893,42,85,43,Miryang,Eastern Asia
TN56,Asia,Block8,188.5,26.3,0.139522546,3.036790813,38,84,46,Miryang,Eastern Asia
TN57,Asia,Block8,146,38.8,0.265753425,3.397188167,45,87,42,Miryang,Eastern Asia
TN58,Asia,Block8,148.5,33.2,0.223569024,2.85363806,46,88,42,Miryang,Eastern Asia
TN59,Asia,Block8,144,30.5,0.211805556,2.510965167,41,88,47,Miryang,Eastern Asia
TN60,Asia,Block8,187,39.3,0.210160428,2.88908698,42,88,46,Miryang,Eastern Asia
TN61,Asia,Block8,190.5,42.4,0.222572178,3.001341893,41,88,47,Miryang,Eastern Asia
