Accession,Continent,Block,Number_locules_per_capsule
T396,Asia,Block8,Four
TN58,Asia,Block8,Four
TN59,Asia,Block8,Four
TN60,Asia,Block8,Four
TN61,Asia,Block8,Four
T407,Asia,Block8,Four
T408,Asia,Block8,Four
T410,Asia,Block8,Four
T411,Asia,Block8,Four
T409,Asia,Block8,Four
T412,Asia,Block8,Four
